,id,parent,name,seo,url,shard,query,childs,isDenyLink
0,8126,306,Блузки и рубашки,Женские блузки и рубашки,/catalog/zhenshchinam/odezhda/bluzki-i-rubashki,bl_shirts,cat=8126,,
1,8127,306,Брюки,Женские брюки,/catalog/zhenshchinam/odezhda/bryuki-i-shorty,pants,cat=8127,,
2,63010,306,Верхняя одежда,Верхняя женская одежда,/catalog/zhenshchinam/odezhda/verhnyaya-odezhda,outwear1,cat=63010,,
3,8130,306,"Джемперы, водолазки и кардиганы",Женские джемперы и кардиганы,/catalog/zhenshchinam/odezhda/dzhempery-i-kardigany,jumpers_cardigans,cat=8130,,
4,8131,306,Джинсы,Женские джинсы и джеггинсы,/catalog/zhenshchinam/odezhda/dzhinsy-dzhegginsy,jeans,cat=8131,,
5,8133,306,Комбинезоны,Комбинезоны и полукомбинезоны женские,/catalog/zhenshchinam/odezhda/kombinezony-polukombinezony,overalls,cat=8133,,
6,8134,306,Костюмы,Женские костюмы,/catalog/zhenshchinam/odezhda/kostyumy,costumes,cat=8134,,
7,9411,306,Лонгсливы,Лонгсливы женские,/catalog/zhenshchinam/odezhda/longslivy,sweatshirts_hoodies,cat=9411,,
8,8136,306,"Пиджаки, жилеты и жакеты",Женские пиджаки и жакеты,/catalog/zhenshchinam/odezhda/pidzhaki-i-zhakety,blazers_wamuses,cat=8136,,
9,8137,306,Платья и сарафаны,Женские платья,/catalog/zhenshchinam/odezhda/platya,dresses,cat=8137,,
10,8140,306,"Толстовки, свитшоты и худи",Толстовки женские,/catalog/zhenshchinam/odezhda/tolstovki,sweatshirts_hoodies,cat=8140,,
11,8141,306,Туники,Туники женские,/catalog/zhenshchinam/odezhda/tuniki,sweatshirts_hoodies,cat=8141,,
12,8142,306,Футболки и топы,Женские футболки и топы,/catalog/zhenshchinam/odezhda/futbolki-i-topy,preset_tops_tshirts1,cat=8142,,
13,128996,306,Халаты,,/catalog/zhenshchinam/odezhda-dlya-doma/halaty,women_bathrobes,cat=128996,,
14,10567,306,Шорты,Шорты женские,/catalog/zhenshchinam/odezhda/bryuki-i-shorty/shorty,shorts,cat=10567,,
15,8143,306,Юбки,Женские юбки,/catalog/zhenshchinam/odezhda/yubki,skirts,cat=8143,,
20,60897,306,Для невысоких,Женская одежда для невысоких,/catalog/zhenshchinam/dlya-nevysokih,short-tall2,cat=60897,,
